"","Place","Region","Confirmed","newConfirmed","Deaths","newDeaths","Est.Recovered","Est.Active","Last Update","Recovered","Active"
"","Republic of the Congo","Republic of the Congo","13,588","0","183","0","13,175","230","2021-09-05 12:00:00","8,208","5,197"
"","Burundi","Burundi","13,070","0","10","0","10,169","2,891","2021-09-05 12:00:00","773","12,287"
"","Hong Kong","Hong Kong","12,122","8","212","0","11,858","52","2021-09-05 12:00:00","11,858","52"
"","Djibouti","Djibouti","11,775","0","157","0","11,583","35","2021-09-05 12:00:00","11,583","35"
"","South Sudan","South Sudan","11,473","0","120","0","11,086","267","2021-09-05 12:00:00","10,917","436"
"","Nicaragua","Nicaragua","11,348","0","200","0","10,460","688","2021-09-05 12:00:00","",""
"","Central African Republic","Central African Republic","11,296","0","100","0","10,935","261","2021-09-05 12:00:00","5,112","6,084"
"","Mauritius","Mauritius","11,181","0","31","0","6,507","4,643","2021-09-05 12:00:00","1,854","9,296"
"","Iceland","Iceland","11,010","0","33","0","10,220","757","2021-09-05 12:00:00","10,220","757"
"","Equatorial Guinea","Equatorial Guinea","9,760","0","128","0","8,939","693","2021-09-05 12:00:00","8,939","693"
"","Gambia","Gambia","9,736","0","323","0","9,345","68","2021-09-05 12:00:00","9,345","68"
"","Jersey","Jersey","9,408","0","77","0","8,836","495","2021-09-05 12:00:00","",""
"","Saint Lucia","Saint Lucia","8,887","0","116","0","6,736","2,035","2021-09-05 12:00:00","6,454","2,317"
"","Yemen","Yemen","8,056","0","1,519","0","5,916","621","2021-09-05 12:00:00","4,961","1,576"
"","Isle of Man","Isle of Man","6,809","0","38","0","6,445","326","2021-09-05 12:00:00","6,445","326"
"","Eritrea","Eritrea","6,647","0","38","0","6,597","12","2021-09-05 12:00:00","6,597","12"
"","Sierra Leone","Sierra Leone","6,372","0","121","0","6,222","29","2021-09-05 12:00:00","4,364","1,887"
"","Niger","Niger","5,880","11","199","0","5,609","72","2021-09-05 12:00:00","5,609","72"
"","Guinea-Bissau","Guinea-Bissau","5,854","0","120","0","5,210","524","2021-09-05 12:00:00","4,592","1,142"
"","Liberia","Liberia","5,727","0","260","0","5,325","142","2021-09-05 12:00:00","5,325","142"
"","Gibraltar","Gibraltar","5,388","2","97","0","5,210","81","2021-09-05 12:00:00","5,210","81"
"","San Marino","San Marino","5,345","0","90","0","5,150","105","2021-09-05 12:00:00","5,150","105"
"","Barbados","Barbados","5,183","0","51","0","4,621","511","2021-09-05 12:00:00","4,621","511"
"","Chad","Chad","4,996","0","174","0","4,816","6","2021-09-05 12:00:00","4,816","6"
"","Comoros","Comoros","4,084","0","147","0","3,906","31","2021-09-05 12:00:00","3,906","31"
"","Sint Maarten","Sint Maarten","3,824","27","57","1","3,528","239","2021-09-05 12:00:00","3,528","239"
"","New Zealand","New Zealand","3,412","21","27","1","2,642","743","2021-09-05 12:00:00","2,642","743"
"","Liechtenstein","Liechtenstein","3,402","0","59","0","3,231","112","2021-09-05 12:00:00","3,189","154"
"","Saint Martin","Saint Martin","3,356","0","17","0","3,005","334","2021-09-05 12:00:00","641","2,698"
"","Monaco","Monaco","3,232","0","35","0","3,120","77","2021-09-05 12:00:00","3,120","77"
"","Brunei","Brunei","3,219","0","15","0","1,484","1,720","2021-09-05 12:00:00","1,468","1,736"
"","Bermuda","Bermuda","3,048","0","34","0","2,724","290","2021-09-05 12:00:00","2,724","290"
"","Turks and Caicos Islands","Turks and Caicos Islands","2,692","0","20","0","2,583","89","2021-09-05 12:00:00","2,583","89"
"","São Tomé and Príncipe","São Tomé and Príncipe","2,660","0","37","0","2,474","149","2021-09-05 12:00:00","2,444","179"
"","British Virgin Islands","British Virgin Islands","2,640","0","37","0","2,537","66","2021-09-05 12:00:00","2,537","66"
"","Bhutan","Bhutan","2,596","0","3","0","2,571","22","2021-09-05 12:00:00","2,571","22"
"","Saint Vincent and The Grenadines","Saint Vincent and The Grenadines","2,336","0","12","0","2,302","22","2021-09-05 12:00:00","2,301","23"
"","Dominica","Dominica","1,832","0","4","0","1,210","618","2021-09-05 12:00:00","1,210","618"
"","Antigua and Barbuda","Antigua and Barbuda","1,750","0","44","0","1,355","351","2021-09-05 12:00:00","1,349","357"
"","Tanzania","Tanzania","1,367","0","50","0","1,230","87","2021-09-05 12:00:00","183","1,134"
"","Guernsey","Guernsey","1,330","0","18","0","1,179","133","2021-09-05 12:00:00","1,179","133"
"","Grenada","Grenada","1,238","140","5","0","229","1,004","2021-09-05 12:00:00","229","1,004"
"","Saint Kitts and Nevis","Saint Kitts and Nevis","1,166","0","5","0","775","386","2021-09-05 12:00:00","659","502"
"","Faroe Islands","Faroe Islands","1,006","0","2","0","997","7","2021-09-05 12:00:00","997","7"
"","Cayman Islands","Cayman Islands","690","0","2","0","671","17","2021-09-05 12:00:00","671","17"
"","Wallis and Futuna","Wallis and Futuna","454","0","7","0","447","0","2021-09-05 12:00:00","438","9"
"","Greenland","Greenland","349","0","0","0","309","40","2021-09-05 12:00:00","309","40"
"","Anguilla","Anguilla","256","0","0","0","208","48","2021-09-05 12:00:00","208","48"
"","Saint Barthelemy","Saint Barthelemy","147","0","1","0","146","0","2021-09-05 12:00:00","105","41"
"","New Caledonia","New Caledonia","136","0","0","0","134","2","2021-09-05 12:00:00","58","78"
"","Falkland Islands (Islas Malvinas)","Falkland Islands (Islas Malvinas)","67","0","0","0","65","2","2021-09-05 12:00:00","63","4"
"","Macau","Macau","63","0","0","0","62","1","2021-09-05 12:00:00","61","2"
"","Antarctica","Antarctica","58","0","0","0","58","0","2021-09-05 12:00:00","0","58"
"","Montserrat","Montserrat","31","0","1","0","24","6","2021-09-05 12:00:00","24","6"
"","Saint Pierre and Miquelon","Saint Pierre and Miquelon","31","0","0","0","30","1","2021-09-05 12:00:00","30","1"
"","Vatican City","Vatican City","29","0","0","0","29","0","2021-09-05 12:00:00","27","2"
"","Solomon Islands","Solomon Islands","20","0","0","0","20","0","2021-09-05 12:00:00","18","2"
"","Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha","11","0","0","0","10","1","2021-09-05 12:00:00","8","3"
"","SeaDream I","SeaDream I","9","0","0","0","9","0","2021-09-05 12:00:00","",""
"","British Indian Ocean Territory","British Indian Ocean Territory","5","0","0","0","5","0","2021-09-05 12:00:00","2","3"
"","Marshall Islands","Marshall Islands","4","0","0","0","4","0","2021-09-05 12:00:00","4","0"
"","American Samoa","American Samoa","4","0","0","0","4","0","2021-09-05 12:00:00","3","1"
"","Samoa","Samoa","3","0","0","0","3","0","2021-09-05 12:00:00","1","2"
"","Vanuatu","Vanuatu","3","0","0","0","3","0","2021-09-05 12:00:00","3","0"
"","Kiribati","Kiribati","2","0","0","0","2","0","2021-09-05 12:00:00","0","2"
"","Palau","Palau","2","0","0","0","2","0","2021-09-05 12:00:00","2","0"
"","Federated States of Micronesia","Federated States of Micronesia","2","0","0","0","1","1","2021-09-05 12:00:00","1","1"
